,asin,helpful,overall,reviewText,reviewTime,reviewerID,reviewerName,summary,unixReviewTime
12565,B001VJZWGG,"[2, 2]",2,"['look', 'realli', 'great', 'look', 'deceivingth', 'part', 'actual', 'connect', 'tire', 'air', 'valv', 'flatwhich', 'made', 'unpredict', 'whether', 'right', 'first', 'time', 'cours', 'isnt', 'right', 'let', 'air', 'out', 'tire', 'half', 'time', 'hit', 'right', 'work', 'great', 'dont', 'want', 'spend', 'lot', 'time', 'mess', 'tire', 'have', 'mess', 'get', 'connect', 'pressur', 'gaug', 'annoy', 'bestactu', 'someon', 'use', 'lot', 'lot', 'more', 'figur', 'out', 'depend', 'use', 'use', 'pressur', 'gaug', 'onc', 'month', 'check', 'tiresthi', 'gaug', 'realli', 'nice', 'shape', 'good', 'surfac', 'feel', 'veri', 'clear', 'screen', 'light', 'use', 'dim', 'light', 'situat', 'case', 'handi', 'realli', 'impress', 'use', 'check', 'against', 'coupl', 'gaug', 'cool', 'look', 'depend', 'three', 'agre', 'each', 'appar', 'accuraci', 'problemth', 'program', 'let', 'input', 'pressur', 'want', 'front', 'back', 'tire', 'dont', 'keep', 'open', 'driver', 'door', 'check', 'one', 'car', 'isnt', 'lot', 'help', 'more', 'one', 'car', 'differ', 'air', 'pressur', 'requirementsbtw', 'whether', 'use', 'anoth', 'gaug', 'well', 'worth', 'cost', 'tire', 'last', 'longer', 'safer', 'use', 'inflat', 'proper']","07 8, 2013",A1W78VPTNJJOF0,L. Wilson,Not as good as what I have,1373241600
12569,B001VMNHX8,"[1, 1]",1,"['use', 'product', '3', 'vehicl', '2', 'lawn', 'mower', '1', 'grass', 'trimmer', '1', 'snowblow', 'partridg', 'pear', 'tree', 'havent', 'notic', 'benefit', 'use', 'product', 'whatsoev', 'fuel', 'storag', 'recommend', 'stabil', '360']","08 11, 2013",A1E752HE229Q0Y,Allworkandnoplay,Another gimmick,1376179200
12582,B001VV0318,"[4, 5]",1,"['havent', 'batteri', 'long', 'havent', 'use', 'much', 'alreadi', 'leak', 'much', 'seal', 'seem', 'handl', 'charg', 'discharg', 'well', 'though', 'question', 'long', 'given', 'way', 'leak', 'termin', 'way', 'theyr', 'color', 'code', 'red', 'black']","06 7, 2012",A1N2WEZQBREEIM,Milton P.,Mine is already leaking,1339027200
12591,B001WWPZF0,"[2, 2]",2,"['chemic', 'guy', 'bought', 'gallon', 'size', 'right', 'bat', 'dilut', '2', 'part', '1', 'water', 'prevent', 'streak', 'use', 'continu', 'black', 'streak', 'mark', 'paint', 'made', 'car', 'look', 'more', 'dirti', 'befor', 'tri', 'without', 'water', 'same', 'use', 'chemic', 'guy', 'spray', 'bottl', 'paint', 'hot', 'even', 'spray', 'towel', 'wipe', 'still', 'bad', 'resid', 'sure', 'wax', 'took', '20', 'minut', 'remov', 'black', 'crap', 'meguiar', 'ultim', 'detail', 'brand', 'new', 'dark', 'blue', 'car', 'right', 'spray', 'turn', 'black', 'streak', 'smell', 'good', 'im', 'realli', 'disappoint', 'chemic', 'guy', 'end', 'up', 'return', 'jug', '27', 'buck', 'back', 'thank', 'amazon', 'realli', 'good', 'return', 'honest', 'hope', 'bad', 'batch', 'hate', 'give', 'bad', 'review', 'good', 'compani', 'overal', 'think', 'buy', 'smaller', 'size', 'product', 'now', 'test', 'first']","01 8, 2014",A263CYETPXZ0OP,Austin,Terrible Streaks,1389139200
12594,B001WWPZF0,"[0, 3]",1,"['dont', 'buy', 'worth', 'epens', 'gave', 'tri', 'remov', 'whith', 'regular', 'bodi', 'shine', 'thank']","11 16, 2013",A2ZJ10ZPQEFNQJ,ruben,dont. use,1384560000
12602,B001XOVIQM,"[0, 0]",2,"['fit', 'smallest', 'cabinet', 'rv', 'fit', 'well', 'within', 'telescop', 'tube', 'kind', 'wobbl', 'sure', 'point', 'except', 'mayb', 'trash']","07 26, 2013",A23JWMDX038UN6,"G.Luckett ""Greg""",Not well made,1374796800
12606,B001XOVIQM,"[0, 0]",2,"['save', 'money', 'thing', 'worthless', 'veri', 'weak', 'flimsi', 'noth', 'secur', 'anyth', 'buy', 'again']","05 30, 2014",A2QGC6016Q9Z4Q,Ronbo555,Save your money.,1401408000
12632,B0021KZFCA,"[0, 0]",2,"['meant', 'use', 'drill', 'instead', 'buffer', 'didnt', 'state', 'descript', 'hope', 'best', 'decent', 'pad', 'money', 'pad', 'littl', 'low', 'qualiti', 'compar', 'brand', 'pay', 'return', 'ship', 'kept', 'kit']","01 9, 2014",A820FRC6G2BY,"Michael W. ""the difference between something ...",Doesn't work for a standard DA or Rotary buffer,1389225600
12651,B0023080RU,"[0, 0]",1,"['black', 'wheel', '99', 'lexus', 'gs400', 'want', 'weight', 'blend', 'look', 'great', 'powder', 'coat', 'durabl', 'even', 'adhes', 'blacki', 'stoke', 'onc', 'appli', 'error', 'way', 'adhes', 'good', 'guy', 'shop', 'couldnt', 'stay', 'wheel', 'through', 'balanc', 'even', 'thourough', 'clean', 'surfac', 'befor', 'handif', 'adhes', 'good', 'easili', '5', 'star', 'unfortun', 'case', 'here']","10 25, 2013",A1FAETFXIWAELQ,"Michael R. Curry ""Tenacious--M""",Great idea and look.  Below par adhesive,1382659200
12673,B0024E6QOO,"[6, 6]",1,"['seem', 'nice', 'cheap', 'way', 'darken', 'up', 'rv', 'sleep', 'keep', 'out', 'unwant', 'solar', 'heat', 'realli', 'want', 'need', 'hottest', 'outsid', 'weve', '100', 'degre', 'weather', 'week', 'instal', 'ceil', 'vent', 'simpli', 'peel', 'back', 'velcro', 'tab', 'stick', 'between', 'mat', 'vent', 'boxunfortun', 'sun', 'beat', 'our', 'hour', 'velcro', 'glue', 'go', 'cover', 'fell', 'velcro', 'stuck', 'vent', 'pull', 'shini', 'chrome', 'cover', 'stick', 'fine', 'cool', 'defeat', 'purpos', 'be', 'sunshield', 'now', 'im', 'concern', 'glue', 'take', 'finish', 'ceil', 'pull', 'velcro', 'tab', 'back', 'offi', 'want', 'easili', 'remov', 'good', 'idea', 'dont', 'know', 'fix', 'without', 'screw', 'down', 'someth', 'leav', 'perman', 'unsight', 'residu', 'hardwar', 'buy', 'vent', 'shade', 'pillow', 'style', 'camco', '45192', 'rv', 'sunshield', 'vent', 'insul', 'instead', 'dont', 'use', 'includ', 'velcro', 'tab', 'stuff', 'up', 'vent', 'theyll', 'stay']","07 7, 2012",A1N1VOQXIZC58T,cullybug 10,Velcro glue lets go when it gets hot.  Buy item 45192 instead.,1341619200
12674,B0024E6QOO,"[1, 1]",2,"['sell', 'product', 'buyer', 'purchas', 'better', 'velcro', 'make', 'stick', 'absolut', 'ridicul', 'easi', 'fix', 'manufactur', 'listen', 'custom', 'complaint', 'product', 'requir', 'better', 'velcro', 'glue']","06 7, 2013",A1C1HNXMVMA8WM,"fiberartist ""fiber artist""",velcro doesn't stick,1370563200
12675,B0024E6QOO,"[0, 0]",2,"['same', 'door', 'cover', 'velcro', 'strip', 'better', 'bought', 'door', 'cover', 'strip', 'melt', 'get', 'hot', 'went', 'differ', 'strip', 'work', 'good', 'tear', 'easi']","12 6, 2013",A31IR85J8P7DC0,flhtxlz,they are ok,1386288000
12676,B0024E6QOO,"[0, 0]",2,"['adhes', 'horribl', 'use', 'room', 'darken', 'rv', 'camp', 'constant', 'have', 'put', 'back', 'up', 'adhes', 'stick', 'well', 'room', 'darken', 'great']","07 4, 2012",A11T18VQMI1MGX,Wilkeson Smart,Not the best,1341360000
12688,B0024E6QX0,"[6, 7]",1,"['use', 'vent', 'year', 'differ', 'rvs', 'alway', 'stay', 'place', 'nice', 'flush', 'vent', 'realli', 'insul', 'heat', 'vent', 'area', 'work', 'nice', 'pillow', 'ball', 'game', 'sit', 'ad', 'plastic', 'insul', 'now', 'addedi', 'thought', 'great', 'recent', 'ad', 'anoth', 'section', 'now', 'sit', 'crunch', 'up', 'veri', 'attract', 'vent', 'good', 'fit', 'stay', 'place', 'assum', 'work', 'do', 'intend', 'look', 'terribl', 'stuf', 'overs', 'pillow', 'vent', 'usual', 'dont', 'send', 'product', 'back', 'worth', 'nice', 'motorhom', 'dont', 'need', 'look', 'bad', 'ceil', 'vent', 'amazon', 'refund', 'full', 'love', 'amazon', 'favorit', 'place', 'shop', 'lotupd', '62313i', 'find', 'walmart', 'origin', 'design', 'work', 'great', 'similar', 'without', 'ad', 'plasic', 'walmart', 'great', 'fit', 'old', 'style', '900', 'rv', 'section', 'autopart', 'seen', 'amazon', 'carri', 'old', 'style', 'older', 'style', 'fit', 'stay', 'great']","04 30, 2013",A1P3RTQKM8BRBL,Ed D,They used to fit nice but new design makes them fit terrible,1367280000
12690,B0024E6QX0,"[2, 2]",2,"['2004', 'yellowston', 'sport', 'rv', 'fit', 'insid', 'space', 'vent', 'vent', 'crank', 'get', 'way', 'even', 'remov', 'crank', 'use', 'sticki', 'tape', 'come', 'fall', 'good', 'idea', 'bad', 'design', 'dont', 'know', 'make', 'work', 'proper']","04 21, 2013",A1C1HNXMVMA8WM,"fiberartist ""fiber artist""",doesn't fit and won't stay put,1366502400
12750,B0024E6V30,"[0, 3]",1,"['purchas', 'water', 'filter', 'lessen', 'likelihood', 'water', 'spot', 'wash', 'vehicl', 'suggest', 'sever', 'onlin', 'forum', 'unfortun', 'veri', 'hard', 'water', 'here', 'northeast', 'resolv', 'issu', 'spot']","08 11, 2013",A1E752HE229Q0Y,Allworkandnoplay,Did not eliminate spots after washing my vehicles,1376179200
12775,B0024E6V9E,"[0, 1]",2,"['doesnt', 'fit', 'outsid', 'filter', 'rv', 'filter', 'kinda', 'rest', 'total', 'wast', 'money']","06 24, 2014",A21LDIFT02EMXX,RPC,Didnt really work,1403568000
12794,B0024E6ZRW,"[0, 0]",2,"['one', 'under', 'bottom', 'step', 'aint', 'get', 'go', 'buy', 'anoth', 'one', 'put', 'each', 'end', 'one', 'keep', 'move', 'around', 'well', 'made', 'good', 'qualiti', 'unit']","07 4, 2014",A235ZXG7B63M8A,Done right,good quality unit,1404432000
12795,B0024E6ZRW,"[6, 10]",1,"['bought', 'two', 'help', 'support', 'step', 'travel', 'trailer', 'instal', 'secur', 'rear', 'bottom', 'step', 'wife', 'step', 'step', 'camper', 'step', 'collaps', 'themselv', 'brace', 'flip', 'up', 'caus', 'injuri', 'shin', 'leg', 'much', 'wors', 'leg', 'fallen', 'between', 'two', 'step', 'step', 'collaps', 'possibl', 'caus', 'leg', 'sever', 'veri', 'disappoint', 'size', 'top', 'bottom', '4', 'inch', 'squar', 'veri', 'flimsili', 'construct']","05 22, 2012",A9KOC3PXLXYSB,Frank N. Stein,BEWARE:  INJURY CAUSED BY THIS PRODUCT,1337644800
12803,B0024E6ZRW,"[12, 17]",1,"['talk', 'letdown', 'rip', 'paid', '15', 'thought', 'two', 'unit', 'product', 'pictur', 'show', 'take', 'deliveri', 'compon', 'find', 'one', 'themseri', 'bought', '17', 'pair', 'black', 'jackstand', 'bigboxcarpart', 'done', 'same', 'thing', 'assur', 'spent', 'equival', '30', 'pair', 'screw', 'jack', 'standssav', 'money', 'consid', 'anoth', 'solut', 'solid', 'ok', 'noth', 'screwhead', 'jack', 'standsand', 'there', 'buy', 'one', 'unit', 'ad', 'detail', 'tri', 'use', 'coupl', 'time', 'mention', 'lower', 'footer', '3', 'x', '3inch', 'upper', 'head', 'jack', 'head', '3', 'x', '3', 'inchesthi', 'doesnt', 'work', 'realli', 'well', 'stepslik', 'mine', 'step', 'steel', 'reinforc', 'ridg', 'middl', 'run', 'later', 'bottom', 'step', 'result', 'cant', 'nest', 'head', 'beneath', 'step', 'treadplat', 'precari', 'sit', 'edg', 'step', 'result', 'there', 'lot', 'brace', 'use', 'yes', 'put', 'piec', 'pine', 'shelv', 'beneath', 'step', 'screw', 'jack', 'good', 'dont', 'want', 'step', 'rust', 'apartbut', 'cant', 'take', 'upper', 'plate', 'screw', 'head', 'removableso', 'end', 'oddest', 'whiteeleph', 'ive', 'boughtcant', 'work', 'whatsoever', 'pair', 'aluminium', 'spinner', 'jack', 'load', 'up', '1000', 'pound', 'work', 'much', 'better', 'thingunfortun', 'cant', 'even', 'use', 'stabil', 'rear', 'rvthere', 'one', 'themand', 'isnt', 'rate', 'anywher', 'near', 'high', 'enough', 'someth']","03 22, 2012",A1WV0XTJROAYGK,"Melanie C ""MC""",PICTURE IS MISLEADING - YOU ONLY GET ONE,1332374400
12806,B0024E6ZRW,"[0, 0]",2,"['idea', 'good', 'stabl', 'under', 'step', 'each', 'time', 'up', 'down', 'step', 'move', 'there', 'way', 'hold', 'place', 'went', 'back', 'nail', 'togeth', 'stack', '2x8s', 'work', 'sand', 'though', 'pegleg']","11 27, 2013",A1KF61HK8BM4D2,Pegleg,Watch your Step...,1385510400
12808,B0024E6ZRW,"[1, 4]",2,"['wast', 'money', 'intend', 'purpos', 'rip', 'purchas', 'great', 'product', 'purpos', 'saveastep', 'brace', 'made', 'ok', 'find', 'anoth', 'purpos']","05 5, 2013",A1ZBAAJKN2Q2RQ,ROD Daugherty,Brace,1367712000
12837,B0024ECHII,"[0, 0]",2,"['tri', 'instal', 'found', 'stair', 'trailer', 'support', 'bar', 'through', 'middl', 'good', 'place', 'instal', 'read', 'review', 'even', 'order', 'wait', 'until', 'home', 'shop', 'make', 'modif', 'use']","04 19, 2014",A1IA6U4YVWY8KJ,AK Travler,Did not install,1397865600
12842,B0024ECHII,"[0, 0]",2,"['cant', 'use', 'step', 'camper', 'close', 'ground', 'adjust', 'isnt', 'short', 'enough', 'work', 'level', 'ground', 'mayb', 'great', 'uneven', 'ground', 'camp', 'ground', 'uneven', 'shorter', 'one']","11 20, 2013",A337TPRP65KNEZ,charles jones,self-stor step sold by camco...,1384905600
12843,B0024ECHII,"[2, 2]",2,"['work', 'somewhat', 'clip', 'hold', 'brace', 'up', 'broke', 'littl', 'qualiti', 'control', 'go', 'long', 'way']","03 6, 2013",AT0Z251RQDQD9,Christopher A. Swafford,Works somewhat,1362528000
12857,B0024GIVZ4,"[0, 0]",2,"['helmet', 'larg', 'unit', 'run', 'small', 'size', 'set', 'high', 'head', 'use', 'extralarg', 'size']","09 11, 2013",AJP569L5Y2RJH,cruzer01,Helmut doesn't fit my head,1378857600
12870,B0024QF4GI,"[0, 1]",2,"['find', 'someth', 'suitabl', 'mani', 'retail', 'thought', 'heavier', 'stuff', 'use', 'keep', 'thing', 'slide', 'droor', 'oh', 'yeah', 'drive', 'nut', 'wind', 'slap', 'roof']","04 19, 2013",A8MDO3XHF5P9N,Fayrae,Slaps the roof!,1366329600
12888,B00265M9SS,"[0, 0]",2,"['kit', 'better', 'qualiti', 'nice', 'way', 'one', 'person', 'bleed', 'brake', 'kit', 'sore', 'lack', 'qualiti', 'dept', 'first', 'plastic', 'hose', 'pack', 'box', 'kink', 'even', 'tri', 'relax', 'kink', 'collaps', 'suction', 'appli', 'adapt', 'one', 'time', 'applic', 'onc', 'seat', 'adapt', 'first', 'brake', 'bleeder', 'valv', 'work', 'well', 'over', 'follow', 'bleeder', 'valv', 'wouldnt', 'seat', 'adapt', 'pliabl', 'enough', 'reseat', 'yourself', 'favor', 'buy', 'set', 'speed', 'bleedersand', 'leav', 'kit', 'alon']","01 22, 2013",AWBEL8741Y0IR,DJ,Nice concept...if it worked,1358812800
12890,B00265M9SS,"[0, 0]",2,"['first', 'pictur', 'look', 'metalbut', 'plastic', 'wouldnt', 'bad', 'rest', 'kit', 'wasnt', 'poor', 'suction', 'pump', 'okaythough', 'tiresom', 'jar', 'small', 'hose', 'chintzi', 'fit', 'leak', 'crazi', 'regardless', 'much', 'pump', 'alway', 'see', 'aireven', 'isnt', 'brake', 'line', 'make', 'veri', 'difficult', 'tell', 'youv', 'actual', 'bled', 'line', 'notperhap', 'work', 'better', 'motorcycl']","06 28, 2012",A1EBZ3K5XOURGG,"GOB PROGRAM Y/N ""Example of a Real Name""",Sloppy mess. Have fun with this thing...,1340841600
12901,B00265M9SS,"[0, 0]",2,"['didnt', 'work', 'well', 'gasket', 'leek', 'send', 'complet', 'rebuilt', 'part', 'part', 'fast', 'free', 'still', 'purg', 'done', 'garag', 'end']","07 8, 2014",A27NBA48NKN04M,"Sylvain Pomone ""Pom1""","It didn't worked so well, a gasket was leeking ...",1404777600
12902,B00265M9SS,"[0, 0]",1,"['pump', 'seem', 'work', 'fine', 'flaw', 'aris', 'leaki', 'reservoir', 'fit', 'way', 'vacuum', 'pump', 'realli', 'work', 'creat', 'seal', 'thing', 'leak', 'poor', 'design', 'reservoir', 'tube', 'connect', 'pointi', 'end', 'up', 'go', 'motiv', 'pump', 'audi', 'a4', 'instead', 'cost', 'more', 'actual', 'usabl']","04 11, 2014",A39ZXTQZHRS8MV,"T. Luu ""tekman2500""",Too many flaws to be good...,1397174400
12934,B0028081GK,"[2, 2]",1,"['one', 'receiv', 'broke', 'first', 'torqu', 'adjust', 'went', 'base', '20', 'ft', 'lbs', 'made', 'grind', 'sound', 'lock', 'up', 'move', 'backward', 'tri', 'again', 'luck', 'immedi', 'sent', 'back', 'defect']","01 17, 2012",ACMXHJV1KCOSV,wildcatgoal,Broke On First Adjustment,1326758400
12975,B0028PJ10K,"[3, 3]",2,"['use', 'land', 'gear', 'support', 'back', 'support', '38', '5th', 'wheel', 'trailer', 'along', 'cap', 'piec', 'same', 'compani', 'one', 'under', 'land', 'gear', 'crack', 'immedi', 'weight', 'appli', 'shock', 'one', 'rear', 'trailer', 'use', 'four', 'cap', 'piec', 'simpli', 'much', 'give', 'stabl', 'took', 'out', 'use', 'concret', 'block', 'give', 'two', 'star', 'handi', 'bag', 'come', 'recommend', 'product']","02 27, 2013",A1MQNS1QNI3YPK,Golfrichv,Didn't work for me,1361923200
13014,B002969BQW,"[0, 0]",1,"['spray', 'paint', 'lot', 'thing', 'car', 'bike', 'jetski', 'plastic', 'fabric', 'stuff', 'around', 'hous', 'prep', 'spray', 'work', 'light', 'greas', 'certain', 'type', 'wax', 'work', 'time', 'surfac', 'work', '30', 'time', 'rest', 'time', 'requir', 'more', 'intens', 'clean', 'scrub', 'sand', 'even', 'sandblast', 'surfac', 'paint', 'wax', 'contamin', 'oil', 'prep', 'spray', 'probabl', 'job', 'realli', 'expect', 'more', 'dupliccolor', 'product', 'meant', 'clean', 'surfac', 'befor', 'paint']","06 29, 2014",A2X06FP2PQ6EK0,"S. A. ROBBINS ""shirley_rw""",Works sometimes.,1404000000
13015,B002969BQW,"[1, 1]",2,"['work', 'ok', 'better', 'dawn', 'dish', 'soap', 'mani', 'spray', 'cleaner', 'less', 'expens', 'save', 'money']","06 1, 2012",A1XDRSGSV56YQ0,"Thomas A. Renick ""OGC5""",No better than Dawn,1338508800
13016,B0029T0S70,"[1, 4]",2,"['towel', 'veri', 'nice', 'soft', 'problem', 'more', 'wash', 'wipe', 'thing', 'high', 'recommend', 'wash', 'befor', 'use', 'feather', 'towel', 'come', 'get', 'kinda', 'annoy', 'see', 'feather', 'car', 'fli', 'around', 'soak', 'up', 'lot', 'water', 'get', 'job', 'done', 'towel', 'look', 'for2', 'star', 'great', 'buy', 'look', 'microfib', 'towel', 'drieswash', 'stay', 'away']","12 22, 2011",AEWT1HWANBIJO,Jeff,Nice Towels,1324512000
13021,B0029XJVA6,"[0, 0]",1,"['worst', 'piec', 'crap', 'alway', 'warn', 'buy', 'gimmick', 'tv', 'didnt', 'state', 'better', 'clean', 'window', 'window', 'cleaner', 'regular', 'microfib', 'cloth', 'wast', 'money', 'time', 'buy', 'piec', 'crap']","12 14, 2012",A2R7P4A4CT2Y7R,Ashleigh,Don't waste your money,1355443200
13025,B0029XJVA6,"[64, 70]",2,"['product', 'wonder', 'idea', 'work', 'charm', 'one', 'problem', 'notic', 'earli', 'head', 'attach', 'firm', 'extens', 'handl', 'know', 'handl', 'remov', 'whole', 'point', 'product', 'reach', 'hard', 'area', 'windshield', 'without', 'strain', 'result', 'head', 'make', 'loud', 'snap', 'sound', 'time', 'time', 'use', 'sometim', 'even', 'fall', 'final', 'one', 'day', 'use', 'plastic', 'handl', 'split', 'two', 'broke', 'result', 'product', 'wonder', 'window', 'car', 'never', 'cleaner', 'product', 'horribl', 'qualiti', 'more', 'qualiti', 'option', 'out']","08 10, 2009",AXM76I9V0451M,G. Miller,Worked Great...Until it broke,1249862400
13032,B0029XJVA6,"[0, 0]",2,"['product', 'make', 'easier', 'hard', 'reach', 'place', 'insid', 'windshield', 'cloth', 'thin', 'overal', 'small', 'effect', 'clean']","04 4, 2013",A2RFF5J7GMDIX,Skippy @ Ole Miss,Just use paper towels,1365033600
13038,B002AMAXNA,"[0, 1]",2,"['expect', 'someth', 'littl', 'more', 'substanti', 'tool', 'small', 'difficult', 'hold', 'use', 'forc', 'break', 'windshield', 'cutter', 'use', 'basic', 'straight', 'blade', 'held', 'plastic', 'two', 'part', 'handleth', 'entir', 'tool', 'size', 'util', 'knife', 'basic', 'construct', 'one', 'out', 'thin', 'plastic', 'instead', 'metalit', 'compact', 'therefor', 'somewhat', 'use', 'extrem', 'emerg', 'wouldnt', 'reli', 'first', 'choic', 'larger', 'sturdier', 'version', 'made', 'competitor', 'handyspend', 'extra', 'money', 'buy', 'better', 'one', 'corner', 'worker', 'need', 'onc', 'million', 'chanc', 'need']","08 19, 2013",A1HPC4BDRLR60,,"Too small, cheaply made, but still useful",1376870400
13043,B002AMAXNA,"[3, 3]",2,"['razor', 'sharp', 'cut', 'thru', 'seatbelt', 'watch', 'video', 'youtub', 'show', 'fail', 'break', 'decid', 'head', 'out', 'junkyard', 'find', 'old', 'window', 'wouldnt', 'miss', 'glass', 'eventu', 'break', 'struck', 'hard', 'enough', 'right', 'spot', 'wasnt', 'break', 'window', 'believ', 'wasnt', 'lack', 'tryingdef', 'consid', 'purchash', 'more', 'reput', 'item', 'resq', 'knife', 'harden', 'carbid', 'tip', 'doesnt', 'seem', 'job']","04 6, 2014",A2XXRN2ANQDBKO,Pratzie,Not for glass breaking,1396742400
13047,B002BC4N5I,"[5, 5]",2,"['griot', 'numer', 'product', 'realli', 'ought', 'laud', 'recommendeda', 'profession', 'auto', 'detail', 'spent', 'therefor', 'blown', 'thousand', 'dollar', 'test', 'product', 'simpli', 'withoutgriot', 'garag', '11104', 'interior', 'cleaner', '35', 'ozgriot', 'garag', '11040sp', 'leather', 'care', 'spray', '8', 'oz', 'especi', 'theirgriot', 'garag', '11173sp', 'vinyl', 'rubber', 'dress', '8', 'oz', 'hand', 'down', 'superior', 'product', 'market', 'dress', 'protect', 'one', 'interior', 'vinyl', 'rubber', 'plastic', 'compon', 'purpos', 'link', 'smallest', 'lowest', 'cost', 'product', 'offer', 'test', 'yourselfthat', 'be', 'griot', 'undercarriag', 'spray', 'well', 'garbag', 'realli', 'garbag', 'word', 'use', 'light', 'pro', 'detailer1', 'fact', 'recolor', 'one', 'undercarriag', 'wheel', 'well', 'long', 'take', 'drive', 'through', 'hard', 'rain', 'water', 'left', 'road', 'such', 'soaking2', 'smell', 'aw', 'petrochem', 'use', 'product', 'garag', 'sort', 'confin', 'space', 'mother', 'headaches3', 'holi', 'mose', 'stuff', 'expens', 'true', 'lot', 'griot', 'stuff', 'need', 'peopl', 'case', 'buy', 'product', 'hype', 'behind', 'further', 'trust', 'review', 'those', 'probabl', 'know', 'betterth', 'truth', 'spray', 'tire', 'dress', 'work', 'well', 'better', 'griot', 'under', 'carriag', 'spray', 'recondit', 'one', 'wheel', 'well', 'peopl', 'buy', 'product', 'forher', 'free', 'tip', 'tire', 'dress', 'siliconebas', 'therefor', 'veri', 'heavi', 'squeez', 'trigger', 'give', 'wrist', 'fair', 'quick', 'flick', 'direct', 'spray', 'minim', 'run', 'productajbestautodetailcom']","01 23, 2013",A191OYZR0NJUFF,AJ,Review From A Professional Auto Detailer,1358899200
13053,B002BC4N5I,"[4, 9]",1,"['extent', 'use', 'wax', 'produc', 'result', 'better', 'mani', 'product', 'never', 'whole', 'car', 'appli', 'accord', 'instruct', 'use', 'griot', 'random', 'orbit', 'machin', 'wax', 'ridicul', 'difficult', 'remov', 'experi', 'applic', 'techniqu', 'decid', 'point', 'hassl', 'went', 'back', 'meguiar', 'add', 'injuri', 'insult', 'best', 'show', 'wax', 'nonreturn', 'product', 'now', 'ive', '20', 'bottl', 'sit', 'useless', 'basement', 'first', '1star', 'review', 'such', 'price', 'worst', 'valu', 'car', 'wax', 'ive', 'encount']","01 24, 2012",A1SW87O7XJI740,"A. Santic ""topofmurrayhill""",Way overpriced and difficult to use,1327363200
13061,B002BC4N5I,"[4, 12]",2,"['plus', 'side', 'come', 'nice', 'packag', 'doesnt', 'includ', 'sprayer', 'smell', 'niceunfortun', 'carnaubabas', 'doesnt', 'last', 'think', 'mayb', 'one', 'two', 'car', 'wash', 'month', 'max', 'cours', 'pasteliquid', 'carnauba', 'wax', 'last', 'month', 'last', 'sever', 'month', 'point', 'better', 'polymerbas', 'sprayon', 'quickdetail', 'product', 'out', 'therethi', 'take', 'place', 'proper', 'wax', 'conveni', 'spray', 'dri', 'car', 'add', 'littl', 'bit', 'protect', 'until', 'use', 'proper', 'waxa', 'far', 'spray', 'product', 'better', 'product', 'out', 'time', 'your', 'tri', 'save', 'includ', 'rang', 'product', 'ultima', 'paint', 'guard', 'plus', 'wipeon', 'walkaway', 'paint', 'sealant', 'finish', 'kare', '425', 'sprayonquickdetailerin', 'end', 'ok', 'knock', 'star', 'pretti', 'bad', 'tendenc', 'streak', 'take', 'extra', 'effort', 'towel', 'buff']","12 6, 2010",A2EHYCA29NSQLU,Bud,"Fair at best, annoying streaking",1291593600
13064,B002BC4N5I,"[1, 1]",2,"['sure', 'work', 'great', 'tri', 'use', 'remov', 'scad', 'bug', 'veri', 'low', 'grill', 'front', 'scion', 'frs', 'read', 'simpl', 'instruct', 'multipl', 'time', 'right', 'veri', 'littl', 'junk', 'remov', 'much', 'even', 'tri', 'roughsurfac', 'pot', 'scrubber', 'spot', 'didnt', 'much', 'clean', 'up', 'few', 'veri', 'small', 'smudg', 'spot', 'here', 'around', 'vehicl', 'nice', 'overal', 'wont', 'use', 'again']","04 16, 2014",A2UW9WI22QKMZE,"Car Guy ""desertgrj""",Griot's Garage 10982 Bug and Smudge Remover,1397606400
13071,B002BC4N5I,"[0, 0]",2,"['1', 'make', 'sure', 'surfac', 'clean', 'possible2', 'clean', 'pad', 'possibl', 'use', 'use', 'compress', 'air', 'pad', 'brushthes', 'pad', 'dirti', 'overheat', 'ive', 'sever', 'pad', 'liter', 'go', '34poof34', 'griot', 'da', 'polish', 'center', 'disintegr', 'foam', 'goe', 'everywher', 'switch', 'lake', 'countri', 'pad', 'found', 'much', 'more', 'durabl', 'more', 'versatilethes', 'good', 'beginn', 'pad', 'onc', 'figur', 'out', 'whole', 'da', 'polish', 'thing', 'work', 'upgrad', 'better', 'pad']","12 24, 2013",A1IR55MLSHNM4K,DJD,Make sure you keep these pads very clean as you use them.. they don't last long,1387843200
13074,B002BC4N5I,"[0, 0]",2,"['good', 'job', 'probabl', 'buy', 'age', 'smell', 'nauseat', 'last', 'long', 'bring', 'back', 'black', 'look', 'ok', 'dirt', 'stuck', 'well', '1', 'light', 'applic', 'dri']","11 5, 2013",A2LU37PVXBXQZJ,Dominic Calomino,"Gave a try, I'll pass on reorder due to awful scent and dirt cling,",1383609600
